184254,511,SUB,31.0,2017-07-02,2019
245438,41,SUB,71.0,2018-07-05,2021
238014,639,LB,4.0,2016-07-01,2020
237758,568,LB,25.0,2015-01-01,2021
224702,296,SUB,32.0,2016-02-11,2020
207806,165,SUB,11.0,2016-07-04,2019
203454,263,RDM,30.0,2018-07-01,2021
245437,546,SUB,38.0,2017-01-25,2021
238269,251,SUB,23.0,2016-11-01,2020
223677,367,SUB,7.0,2018-07-01,2021
217277,122,SUB,13.0,2012-07-01,2020
184764,70,LB,5.0,2018-07-01,2020
246972,37,RB,31.0,2016-07-01,2021
238780,229,LCB,20.0,"","Jun 30, 2019"
222396,23,SUB,21.0,"","Jun 30, 2019"
216508,519,SUB,38.0,2013-07-01,2020
206524,172,RCB,4.0,2012-05-01,2019
237499,319,RES,29.0,2017-08-23,2020
232379,643,LF,11.0,2017-01-25,2021
223931,221,SUB,3.0,2018-07-14,2021
173498,271,RCM,4.0,2018-07-04,2020
225722,623,RCB,19.0,2015-01-01,2023
207546,552,RCM,7.0,"","Oct 14, 2019"
203450,303,RDM,21.0,2018-07-01,2020
237494,364,LCM,6.0,2019-02-01,2019
209334,241,RDM,17.0,2016-06-30,2020
191669,342,LCM,8.0,2013-01-01,2021
169909,172,SUB,12.0,2018-07-01,2020
232117,138,RB,23.0,2017-06-10,2020
153269,37,RES,71.0,2017-07-01,2022
245172,385,RCB,4.0,2018-07-13,2021
179636,473,RM,7.0,2017-08-24,2019
239028,353,SUB,7.0,"","Jun 30, 2019"
227764,172,SUB,7.0,2016-07-01,2020
221620,318,SUB,14.0,2019-02-13,2019
213428,168,SUB,31.0,2019-02-12,2023
193715,85,SUB,21.0,2017-07-01,2019
239795,619,RM,18.0,"","Jun 30, 2019"
225203,384,GK,1.0,2018-06-08,2020
213171,343,LCB,3.0,2018-02-26,2023
240050,457,RB,23.0,2017-07-01,2020
237490,258,SUB,12.0,"","Jun 30, 2019"
235442,355,SUB,30.0,2016-07-27,2020
232626,280,RB,22.0,2013-01-01,2021
225202,502,RES,17.0,2014-07-01,2022
212146,284,SUB,21.0,2017-07-24,2022
184753,590,RB,17.0,2017-12-07,2020
241585,260,SUB,3.0,"","Jun 30, 2019"
236464,290,SUB,20.0,"","Jun 30, 2019"
208304,329,RES,50.0,2019-01-18,2020
199088,77,SUB,41.0,2019-02-25,2020
244655,446,RM,16.0,2018-07-13,2021
168879,34,SUB,10.0,1998-07-01,2019
224175,221,SUB,23.0,2018-07-01,2020
155567,9,RM,11.0,2016-01-16,2019
216751,"","","","",""
247214,148,SUB,6.0,2019-01-31,2021
234158,372,SUB,28.0,2016-07-01,2021
222382,163,RM,24.0,2013-07-01,2023
173484,223,SUB,20.0,2017-02-01,2020
231596,369,SUB,1.0,2013-07-01,2019
229036,9,LCB,4.0,"","Jun 30, 2019"
201132,374,SUB,26.0,"","Jun 30, 2019"
200876,628,LCB,13.0,2018-07-16,2021
243627,234,SUB,19.0,2019-01-31,2023
232107,91,RES,40.0,2018-07-01,2019
230827,308,SUB,38.0,2015-07-01,2021
215211,406,LCB,26.0,2018-08-01,2019
208294,645,SUB,8.0,2019-01-05,2021
237477,401,SUB,28.0,2016-10-07,2020
229285,258,LDM,8.0,2018-07-01,2019
228517,494,RDM,35.0,2015-04-03,2022
223653,115,SUB,14.0,2016-06-07,2019
216485,363,RCM,27.0,"","Jun 30, 2019"
144037,206,LCB,5.0,2018-02-08,2019
193956,620,RM,27.0,"","Jun 30, 2019"
239268,183,RES,29.0,"","Jun 30, 2019"
236196,269,SUB,18.0,2018-01-01,2021
225956,512,SUB,17.0,"","Dec 31, 2019"
209316,373,SUB,13.0,2018-07-01,2020
232611,418,SUB,6.0,2017-01-25,2021
224163,417,SUB,6.0,2016-08-16,2021
152483,284,LCB,6.0,2017-07-01,2020
216227,336,RES,9.0,2018-08-09,2021
215459,420,SUB,11.0,2016-06-01,2020
201891,610,ST,24.0,2015-07-07,2020
